id,split,text,text_clean,label,label_name,n_words,n_chars,has_negation
train_000014,train,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,1,joy,42,219,1
train_000015,train,i do not feel reassured anxiety is on each side,i do not feel reassured anxiety is on each side,1,joy,10,47,1
train_000016,train,i didnt really feel that embarrassed,i didnt really feel that embarrassed,0,sadness,6,36,1
train_000017,train,i feel pretty pathetic most of the time,i feel pretty pathetic most of the time,0,sadness,8,39,0
train_000018,train,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,0,sadness,23,125,0
train_000019,train,i now feel compromised and skeptical of the value of every unit of work i put in,i now feel compromised and skeptical of the value of every unit of work i put in,4,fear,17,80,0
train_000020,train,i feel irritated and rejected without anyone doing anything or saying anything,i feel irritated and rejected without anyone doing anything or saying anything,3,anger,12,78,0
train_000021,train,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,4,fear,44,213,0
train_000022,train,i have the feeling she was amused and delighted,i have the feeling she was amused and delighted,1,joy,9,47,0
train_000023,train,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,1,joy,27,129,0
train_000024,train,i already feel like i fucked up though because i dont usually eat at all in the morning,i already feel like i fucked up though because i dont usually eat at all in the morning,3,anger,18,87,1
train_000025,train,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0,sadness,54,259,1
train_000026,train,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,0,sadness,15,86,0
train_000027,train,i become overwhelmed and feel defeated,i become overwhelmed and feel defeated,0,sadness,6,38,0
train_000028,train,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,3,anger,21,107,0
train_000029,train,i feel more superior dead chicken or grieving child,i feel more superior dead chicken or grieving child,1,joy,9,51,0
train_000030,train,i get giddy over feeling elegant in a perfectly fitted pencil skirt,i get giddy over feeling elegant in a perfectly fitted pencil skirt,1,joy,12,67,0
train_000031,train,i remember feeling acutely distressed for a few days,i remember feeling acutely distressed for a few days,4,fear,9,52,0
train_000032,train,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,i have seen heard and read over the past couple of days i am left feeling impressed by more than a few companies,5,surprise,23,112,0
train_000033,train,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,i climbed the hill feeling frustrated that id pretty much paced entirely wrong for this course and that a factor that has never ever hampered me had made such a dent in the day,3,anger,34,176,1
train_000034,train,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,i can t imagine a real life scenario where i would be emotionally connected enough with someone to feel totally accepted and safe where it it morally acceptable for me to have close and prolonged physical contact and where sex won t be expected subsequently,1,joy,45,257,0
train_000035,train,i am not sure what would make me feel content if anything,i am not sure what would make me feel content if anything,1,joy,12,57,1
train_000036,train,i have been feeling the need to be creative,i have been feeling the need to be creative,1,joy,9,43,0
train_000037,train,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,i do however want you to know that if something someone is causing you to feel less then your splendid self step away from them,1,joy,25,127,0
train_000038,train,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,3,anger,29,140,1
train_000039,train,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,i need you i need someone i need to be protected and feel safe i am small now i find myself in a season of no words,1,joy,27,115,1
train_000040,train,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,i plan to share my everyday life stories traveling adventures inspirations and handmade creations with you and hope you will also feel inspired,1,joy,23,143,0
train_000041,train,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,i already have my christmas trees up i got two and am feeling festive which i m sure is spurring me to get started on this book,1,joy,27,127,0
train_000042,train,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,1,joy,27,127,1
train_000043,train,i feel very strongly passionate about when some jerk off decides to poke and make fun of us,i feel very strongly passionate about when some jerk off decides to poke and make fun of us,1,joy,18,91,0
train_000044,train,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,i was feeling so discouraged we are already robbing peter to pay paul to get our cow this year but we cant afford to not get the cow this way,0,sadness,30,141,1
train_000045,train,i was feeling listless from the need of new things something different,i was feeling listless from the need of new things something different,0,sadness,12,70,0
train_000046,train,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,i lost my special mind but don t worry i m still sane i just wanted you to feel what i felt while reading this book i don t know how many times it was said that sam was special but i can guarantee you it was many more times than what i used in that paragraph did i tell you she was special,1,joy,64,289,0
train_000047,train,i can t let go of that sad feeling that i want to be accepted here in this first home of mine,i can t let go of that sad feeling that i want to be accepted here in this first home of mine,2,love,22,93,0
train_000048,train,on a boat trip to denmark,on a boat trip to denmark,1,joy,6,25,0
train_000049,train,i stopped feeling cold and began feeling hot,i stopped feeling cold and began feeling hot,3,anger,8,44,0
train_000050,train,i need to feel the dough to make sure its just perfect,i need to feel the dough to make sure its just perfect,1,joy,12,54,0
train_000051,train,i found myself feeling a little discouraged that morning,i found myself feeling a little discouraged that morning,0,sadness,9,56,0
train_000052,train,i feel selfish and spoiled,i feel selfish and spoiled,3,anger,5,26,0
train_000053,train,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,4,fear,20,104,0
train_000054,train,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,i bag qaf look who s cryin now jacynthe lookin good feelin gorgeous rupaul the skins scissor sisters valentine the sun fed up kayle who s your daddy gerling awake the unkind u,1,joy,33,175,0
train_000055,train,i feel you know basically like a fake in the realm of science fiction,i feel you know basically like a fake in the realm of science fiction,0,sadness,14,69,0
train_000056,train,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,i hate living under my dads roof because it gives him an excuse to be an asshole to me because hes providing for me to live here i think he feels that he needs to make me feel as unwelcome as possible so ill leave,0,sadness,45,213,0
train_000057,train,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,i keep feeling pleasantly surprised at his supportiveness and also his ease in new situations,5,surprise,15,93,0
train_000058,train,i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,i have this feeling that if i have anymore vigorous sexual activity in the coming yes i misspelt that as cumming days parts of me will begin to fall off,1,joy,30,152,0
train_000059,train,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,i feel my mom s graceful warm loving smile as i rob the time to nurture myself and heal,1,joy,19,87,0
train_000060,train,i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,1,joy,23,103,1
train_000061,train,i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,i ate i could feel a gentle tingle throughout almost as if i was feeling the healing taking place at a cellular level,2,love,23,117,0
train_000062,train,i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,i feel like we are pressured into being young beautiful thin and depending on the trend having the girls rejuvenated or butt implants,4,fear,23,133,0
train_000063,train,i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,i began having them several times a week feeling tortured by the hallucinations moving people and figures sounds and vibrations,4,fear,20,127,0
train_000064,train,i am now nearly finished the week detox and i feel amazing,i am now nearly finished the week detox and i feel amazing,5,surprise,12,58,0
train_000065,train,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,i feel selfish as i read back to my former posts how i have never asked for prayers for others how i never considered that there may be others out there that deserve their prayers answered before my own,3,anger,39,202,1
train_000066,train,i know the pain parents feel when an enraged child becomes violent,i know the pain parents feel when an enraged child becomes violent,3,anger,12,66,0
train_000067,train,i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,i have been on a roller coaster of emotions over these supposed feelings that something unpleasant was coming,0,sadness,18,109,0
train_000068,train,i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,i suppose my own truth needs to be shared i havent been feeling very faithful lately ive dwelled more in doubt and uncertainty than i have in faith,2,love,28,147,0
train_000069,train,i was feeling brave when i bought it and clearly when i was doing my makeup,i was feeling brave when i bought it and clearly when i was doing my makeup,1,joy,16,75,0
train_000070,train,i am feeling miserable but c i am also the proudest mum on earth,i am feeling miserable but c i am also the proudest mum on earth,0,sadness,14,64,0
train_000071,train,i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,i figure my family loves us no matter what but around anyone else i feel embarrassed when michelle goes ballistic,0,sadness,20,113,1
train_000072,train,i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,i don t necessarily think f bombs and sex are necessary in all stories but i feel reassured when i see them in print journals,1,joy,25,125,0
train_000073,train,i can feel my ovaries aching talking to me as i like to put it,i can feel my ovaries aching talking to me as i like to put it,0,sadness,15,62,0
train_000074,train,i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,i didn t feel like doing much chris and i mostly just took too many pictures of unimportant stuff,0,sadness,19,97,0
train_000075,train,im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,im tired of the book and ready to have it out of here and finding out that i was given unsuitable images and then feeling blamed for the result did not sit well,0,sadness,33,160,1
train_000076,train,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,1,joy,38,189,0
train_000077,train,i think feelings are one of nay the most important things we have,i think feelings are one of nay the most important things we have,1,joy,13,65,0
train_000078,train,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,1,joy,17,100,0
train_000079,train,i feel angered and firey,i feel angered and firey,3,anger,5,24,0
train_000080,train,i feel like a miserable piece of garbage,i feel like a miserable piece of garbage,0,sadness,8,40,0
train_000081,train,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,3,anger,22,102,1
train_000082,train,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,3,anger,23,110,0
train_000083,train,i remember feeling so hellip furious with the shooter,i remember feeling so hellip furious with the shooter,3,anger,9,53,0
train_000084,train,i feel very happy and excited since i learned so many things,i feel very happy and excited since i learned so many things,1,joy,12,60,0
train_000085,train,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,1,joy,26,146,0
train_000086,train,i only have a couple of things left to make and at the start of december i am done and feeling smug,i only have a couple of things left to make and at the start of december i am done and feeling smug,1,joy,22,99,0
train_000087,train,i think about how u could make me feel and realize that everything will be ok,i think about how u could make me feel and realize that everything will be ok,1,joy,16,77,0
train_000088,train,i feel so worthless during those times i was struggling finding work,i feel so worthless during those times i was struggling finding work,0,sadness,12,68,0
train_000089,train,i will be able to lay on my bed in the dark and not feel terrified at least for a while,i will be able to lay on my bed in the dark and not feel terrified at least for a while,4,fear,21,87,1
train_000090,train,i was ready to meet mom in the airport and feel her ever supportive arms around me,i was ready to meet mom in the airport and feel her ever supportive arms around me,2,love,17,82,0
train_000091,train,im feeling bitter today my mood has been strange the entire day so i guess its that,im feeling bitter today my mood has been strange the entire day so i guess its that,3,anger,17,83,0
train_000092,train,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,0,sadness,31,161,0
train_000093,train,i am letting go of the animosity that is towards anyone that i feel has wronged me,i am letting go of the animosity that is towards anyone that i feel has wronged me,3,anger,17,82,0
train_000094,train,i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,2,love,28,137,1
train_000095,train,i feel like throwing away the shitty piece of shit paper,i feel like throwing away the shitty piece of shit paper,0,sadness,11,56,0
train_000096,train,im starting to feel wryly amused at the banal comedy of errors my life is turning into,im starting to feel wryly amused at the banal comedy of errors my life is turning into,1,joy,17,86,0
train_000097,train,i find every body beautiful and only want people to feel vital in their bodies,i find every body beautiful and only want people to feel vital in their bodies,1,joy,15,78,0
train_000098,train,i hear are owners who feel victimized by their associations the associations attorneys or the property manager,i hear are owners who feel victimized by their associations the associations attorneys or the property manager,0,sadness,17,110,0
train_000099,train,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,3,anger,41,197,0
train_000100,train,i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,2,love,33,164,1
train_000101,train,i alba i feel good and im fitting in,i alba i feel good and im fitting in,1,joy,9,36,0
train_000102,train,i feel excited about what im doing again i feel like i have a ton of catching up to do,i feel excited about what im doing again i feel like i have a ton of catching up to do,1,joy,20,86,0
train_000103,train,i also know how good it feels to look back and see that i honored my word and that helps from the start,i also know how good it feels to look back and see that i honored my word and that helps from the start,1,joy,23,103,0
train_000104,train,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,0,sadness,33,200,0
train_000105,train,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,1,joy,21,111,0
train_000106,train,i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,1,joy,44,241,0
train_000107,train,i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,1,joy,36,168,0
train_000108,train,finding out that i am not ill not seriously,finding out that i am not ill not seriously,1,joy,9,43,1
train_000109,train,i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,0,sadness,31,178,0
train_000110,train,i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,1,joy,30,160,1
train_000111,train,i am feeling all useful,i am feeling all useful,1,joy,5,23,0
train_000112,train,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,0,sadness,49,236,0
train_000113,train,im not feeling homesick yet so im feeling alright about this,im not feeling homesick yet so im feeling alright about this,0,sadness,11,60,1
train_000114,train,i dance i should feel pretty,i dance i should feel pretty,1,joy,6,28,0
train_000115,train,i workout every morning before and feel fabulous for it,i workout every morning before and feel fabulous for it,1,joy,10,55,0
train_000116,train,i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,0,sadness,39,175,1
train_000117,train,i was feeling fabulous until friday morning when i started to get these awful cramps at work,i was feeling fabulous until friday morning when i started to get these awful cramps at work,1,joy,17,92,0
train_000118,train,i feel honoured to have been able to call them friends to share their brotherhood,i feel honoured to have been able to call them friends to share their brotherhood,1,joy,15,81,0
train_000119,train,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,4,fear,17,93,0
train_000120,train,i had stated to her the reason i feel so fearful is because i feel unsafe,i had stated to her the reason i feel so fearful is because i feel unsafe,4,fear,16,73,0
train_000121,train,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,4,fear,26,122,0
train_000122,train,i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,0,sadness,19,108,0
train_000123,train,i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,2,love,47,250,1
train_000124,train,i feel they are pretty safe on my blog img src http s,i feel they are pretty safe on my blog img src http s,1,joy,13,53,0
train_000125,train,i feel pretty eager to get it done as i have a fun plan for quilting it,i feel pretty eager to get it done as i have a fun plan for quilting it,1,joy,17,71,0
train_000126,train,i am feeling horny so i ask her that lets go home,i am feeling horny so i ask her that lets go home,2,love,12,49,0
train_000127,train,i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,4,fear,42,198,0
train_000128,train,i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,5,surprise,30,125,1
train_000129,train,i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,1,joy,23,134,0
train_000130,train,i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,1,joy,37,161,0
train_000131,train,i was still feeling strong,i was still feeling strong,1,joy,5,26,0
train_000132,train,i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,1,joy,36,186,0
train_000133,train,i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,3,anger,31,145,0
train_000134,train,i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,4,fear,37,199,1
train_000135,train,i clench to the corners of the bed to feel assured,i clench to the corners of the bed to feel assured,1,joy,11,50,0
train_000136,train,i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,3,anger,24,109,1
train_000137,train,i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,2,love,28,143,0
train_000138,train,i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,3,anger,23,119,0
train_000139,train,i do not feel miserable at all because my family is not the type that celebrates eid,i do not feel miserable at all because my family is not the type that celebrates eid,0,sadness,17,84,1
train_000140,train,i might go get a car wash if i am feeling really generous my car needs it,i might go get a car wash if i am feeling really generous my car needs it,1,joy,17,73,0
train_000141,train,i still feel sleep deprived she is almost sleeping through the night giving us,i still feel sleep deprived she is almost sleeping through the night giving us,0,sadness,14,78,0
train_000142,train,i just feel really violent right now,i just feel really violent right now,3,anger,7,36,0
train_000143,train,i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,1,joy,28,126,0
train_000144,train,i started feeling funny and then friday i woke up sick as a dog,i started feeling funny and then friday i woke up sick as a dog,5,surprise,14,63,0
train_000145,train,i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,0,sadness,18,95,0
train_000146,train,i feel disgusted to even be associated with this woman by my race and nationality,i feel disgusted to even be associated with this woman by my race and nationality,3,anger,15,81,0
train_000147,train,i laughed then bitterly again but i wasnt feeling bitter,i laughed then bitterly again but i wasnt feeling bitter,3,anger,10,56,1
train_000148,train,i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,0,sadness,43,208,0
train_000149,train,i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,1,joy,20,92,0
train_000150,train,i told him that maybe i just need time to think how ive been feeling indecisive about things lately,i told him that maybe i just need time to think how ive been feeling indecisive about things lately,4,fear,19,99,0
train_000151,train,i still feel it does the genre a disservice when stories are resolved artifically,i still feel it does the genre a disservice when stories are resolved artifically,1,joy,14,81,0
train_000152,train,i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,1,joy,56,250,1
train_000153,train,i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,4,fear,41,200,0
train_000154,train,i could feel her whimper to the thought of being unloved and uncared for,i could feel her whimper to the thought of being unloved and uncared for,0,sadness,14,72,0
train_000155,train,im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,5,surprise,40,185,1
train_000156,train,im sorry that there wasnt more humor in this post but im not feeling all that funny,im sorry that there wasnt more humor in this post but im not feeling all that funny,5,surprise,17,83,1
train_000157,train,i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,1,joy,22,111,0
train_000158,train,i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,3,anger,38,183,1
train_000159,train,i feel strange coming back to work after my one day holiday,i feel strange coming back to work after my one day holiday,4,fear,12,59,0
train_000160,train,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,3,anger,32,183,0
train_000161,train,i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,0,sadness,52,262,1
train_000162,train,i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,3,anger,28,141,0
